"!symbol / month","!symbol / month"
"Card Expiry Date","Card expiry date"
"Card Holder Name","Card holder name"
"Card Number","Card number"
"Cardholder not enrolled","Cardholder not enrolled"
"Carrier Title","Carrier Title"
"Check out faster","Check out faster"
"Check to activate the external checkout.","Check to activate the external checkout."
"Checkout","Checkout"
"Checkout as Guest","Checkout as a guest"
"Checkout as a Guest or Register","Checkout as a guest or register"
"Checkout as a new customer","Checkout as a new customer"
"Checkout failed with unknown reason","Checkout failed with unknown reason."
"Checkout using your account","Checkout using your account"
"Checkout with MasterPass.","Buy with MasterPass."
"Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status","Choose settlement after order in case you want an invoice to be created with your order. The status of the invoice will be set according to your specified capture status."
"Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status. For captured payments, an invoice is always created.","Choose settlement after order in case you want an invoice to be created with your order. The status of the invoice will be set according to your specified capture status. For captured payments, an invoice is always created."
"Client Certificate Passphrase","Client Certificate Passphrase"
"Client Certificate Passphrase (Test)","Client Certificate Passphrase (Test)"
"Company Commercial Number","Company Commercial Number"
"Confirm Password","Confirm Password"
"Continue","Continue"
"Could not convert object of type '!type' to string.","Could not convert object of type '!type' to string."
"Could not fetch installment plan from Klarna","Could not fetch installment plan from Klarna"
"Could not find a brand for the given card number.","Could not find a brand for the given card number."
"Could not find an adapter for the authoriztion method !methodName.","Could not find an adapter for the authoriztion method !methodName."
"Could not find pressed button.","Could not find pressed button."
"Could not find template file at default location '!location'.","Could not find template file at default location '!location'."
"Could not find the payment method !paymentMethodName.","Could not find the payment method !paymentMethodName."
"Could not load layout from URL !url. Reason: !reason","Could not load layout from URL !url. Reason: !reason"
"Could not resolve IP address of the customer.","Could not resolve IP address of the customer."
"Create Account","Create Account"
"Create New Order - Payment","Create New Order - Payment"
"Create a recurring payment, with an existing alias is not supported","Creating a recurring payment with an existing alias is not supported."
"Creating an account has many benefits:","Creating an account has many benefits:"
"Creation Date","Creation Date"
"Credit Card Brands","Credit Card Brands"
"Credit Memo History","Credit Memo History"
"Credit Memo Totals","Credit Memo Totals"
"Credit memo's total must be positive.","Credit memo's total must be positive."
"Currency","Currency"
"Current Configuration Scope:","Current Configuration Scope:"
"Customer Account","Customer account"
"Customer Alias Management","Customer Alias Management"
"Customer did not enter a date of birth.","The customer did not enter a date of birth."
"Customer did not enter a phone number.","The customer did not enter a phone number."
"Customer did not enter a social securiy number.","The customer did not enter a social security number."
"Customer did not select his gender.","The customer did not select his gender."
"Customer successfully returned from FirstDataConnectCw","Customer successfully returned from FirstDataConnectCw"
"Customer successfully returned from FirstData Connect","Customer successfully returned from the FirstDataConnectCw payment page."
"Customer sucessfully returned from the FirstDataConnectCw payment page.","Customer successfully returned from the FirstDataConnectCw payment page."
"Customers","Customers"
"Customweb","Customweb"
"DEBUG","DEBUG"
"Data Collection","Data Collection"
"Date","Date"
"Date of Birth","Date of birth"
"Day","Day"
"Deactivate","Deactivate"
"Deactivated","Deactivated"
"Dear customer we have received your billing and shipping information. In order to finish your order please create an account below or checkout as guest.","Dear customer we have received your billing and shipping information. In order to finalize your order please create an account below or checkout as a guest."
"Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email.","Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email."
"Default Config","Default Configuration"
"Deferred","Deferred"
"Deferred (authorization)","Deferred (authorisation)"
"Deferred capturing","Deferred capturing"
"Deferred settlement","Deferred settlement"
"Define a maximal order total for this checkout to be available.","Define a maximal order total for this checkout to be available."
"Define a minimal order total for this checkout to be available.","Define a minimal order total for this checkout to be available."
"Delayed","Deferred"
"Delete","Delete"
"Delivery address","Delivery address"
"Description","Description"
"Details: !details","Details: !details"
"Diners Club","Diners Club"
"Direct Debits","Direct Debits (ELV)"
"Direct E-Banking","Direct E-Banking"
"Direct capture after order","Direct capturing"
"Directly after order","Direct capturing"
"Directly after order (sale)","Direct capturing"
"Directory Server Error","Directory Server Error"
"Directory Server not responding","Directory Server not responding"
"DirektÜberweisung Verification","DirektÜberweisung Verification"
"Disable 3d Secure for this payment method.","Disable 3D Secure for this payment method."
"Disabled","Deactivated"
"Discount","Discount"
"Discount Amount","Discount Amount"
"Don't change order status","Don't change order status"
"During authorization","During the authorisation"
"During the authorization of the payment a 3D secure check may be done. The selected outcomes are treated as uncertain transactions.","During the authorisation of the payment, a 3D Secure check might be carried out. Based on the selection you make here, the payments will treated as uncertain transactions."
"Edit","Edit"
"Edit Invoice %s","Edit Invoice %s"
"Email Address","Email Address"
"Empty version number field name","Empty version number field name"
"Enable or disable logging.","Enable or disable logging."
"Enable the payment method","Enable this payment method"
"Enabled","Enabled"
"Enter the date on which your card expires.","Enter the card expiry date."
"Enter the store Id, that you will use to process your MOTO transactions. The MOTO ID is provided by FirstData Connect (Test).","Enter the store Id you will use to process your MoTo transactions. The MoTo ID is provided by FirstData Connect (Test)."
"Enter the store Id, that you will use to process your MOTO transactions. The MOTO ID is provided by FirstData Connect.","Enter the store Id you will use to process your MoTo transactions. The MoTo ID is provided by FirstData Connect."
"Error","Error"
"Error with the length of the validation date.","Error with the length of the validation date."
"Excl. Tax","Excl. Tax"
"External Checkout","External Checkout"
"External Checkout: Guest Checkout","External Checkout: Guest Checkout"
"Failed","Failed"
"Failed payment authorization.","The authorization failed."
"Female","Female"
"Figure !number:","Figure !number:"
"Flexibel in 14 Tagen bezahlen (<a href='https://cdn.klarna.com/1.0/shared/content/legal/terms/123/de_de/invoice#' target='_new'>Rechnungsbedingungen</a>)","Flexibel in 14 Tagen bezahlen (<a href='https://cdn.klarna.com/1.0/shared/content/legal/terms/123/de_de/invoice#' target='_new'>Rechnungsbedingungen</a>)"
"Force FirstData Connect to send the payment notification on a non SSL secured connection","Force FirstData Connect to send the payment notification on a non SSL secured connection."
"Force non SSL notifications","Force non SSL notifications"
"Forgot Your Password?","Forgot Your Password?"
"Forgot your password?","Forgot your password?"
"Gather solvency information through the service from Bürgel","Gather solvency information through the service of Bürgel"
"Gender","Gender"
"Get Update","Get Update"
"Handling Fee","Handling fee"
"Here you can find <a href='!more' target='_blank'>more information about installments</a>, <a href='!tac' target='_blank'>terms and conditions with revocation information</a> and <a href='!info' target='_blank'>general information about consumer credit</a>.","Here you can find <a href='!more' target='_blank'>more information about installments</a>, <a href='!tac' target='_blank'>terms and conditions with revocation information</a> and <a href='!info' target='_blank'>general information about consumer credit</a>."
"Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to FirstData Connect. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id})."
"Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to FirstData Connect . The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name-{id}). Make sure that you do not use '_'.","Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to FirstData Connect. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id})."
"Hide","Hide"
"Home","Home"
"I agree that that Klarna can use my adress data for identity and scoring checks. I am aware that I can revoke my !consent at any time in the future. The general terms and conditions of the merchant apply.","I agree that Klarna can use my address data to identity and for scoring of checks. I am aware that I can revoke my !consent at any time in the future. The general terms and conditions of the merchant apply."
"IBAN","IBAN"
"IBAN number","Bank account number (IBAN)"
"Identification of Person","Identification of Person"
"If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore.","If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, the item will be reserved until the payment is cancelled (see timeout option below). Activate this option if you do NOT wish to reserve the item in case of an aborted or failed payment. The order will then be cancelled immediately."
"If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order being already canceled.","If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order already being canceled."
"If activating this setting, the Payment Page uses a responsive styling. It adapts itself to the resolution of the screen.","By activating this setting, the Payment Page uses a responsive styling. It adjusts to the resolution of the screen."
"If it is not applicable leave the field empty.","If it is not applicable leave the field empty."
"If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully.","If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully."
"If the status is 'Pending' it is unclear whether the transaction will be captured successfully.","If the status is 'Pending' it is unclear whether the transaction will be captured successfully."
