"!symbol / month","!symbol / month"
"Register","Register"
"Register to Create an Account","Register to create an account"
"Register with us for future convenience:","Register with us for future convenience:"
"Release Date","Release Date"
"Responsive Payment Page","Responsive Payment Page"
"Review","Review"
"Rounding Adjustment","Rounding Adjustments"
"Row Total","Row Total"
"SEPA Mandate ID","SEPA Mandate ID"
"SKU:","SKU:"
"Sales","Sales"
"Sales Tax Number","Sales Tax Number"
"Save","Save"
"Saved cards:","Saved cards:"
"See order and shipping status","See order and shipping status"
"Select Brand","Select card brand"
"Select Method","Select Method"
"Select if DirektÜberweisung should verfiy payment data","Select if DirektÜberweisung should verfiy payment data"
"Select the additional information shown to the customer.","Select the additional information shown to the customer."
"Select the authorization method to use for processing this payment method.","Select the authorisation method to use in order to process this payment method. (Please be aware that the hidden mode for credit cards (if available) requires additional PCI certification requirements. Contact FirstData Connect for additional information)."
"Select the data which FirstData Connect collects during the payment page checkout process","Select the data collected by FirstData Connect during the payment page checkout process."
"Select the data which FirstData Connect collects during the payment page checkout process. We suggest that you use 'Payment Information only' otherwise the user will be asked for additional details on the Payment Page.","Select the data collected by FirstData Connect during the payment page checkout process. We suggest using 'Payment Information only' as otherwise the user will be asked for additional details on the Payment Page."
"Select the date of your birth.","Select your date of birth."
"Select the date on which your card expires.","Select the expiry date of your card."
"Select your gender","Please select your gender."
"Send Invoice Email","Send Invoice Email"
"Send amounts to FirstData Connect in base currency.","Send amounts to FirstData Connect in base currency."
"Send amounts to FirstData Connect in store's base currency.","Send amounts to FirstData Connect in store's base currency."
"Send invoice email","Send invoice email"
"Send the invoice email automatically after invoice creation.","Send the invoice email automatically after invoice creation."
"Set direct capture after order. In this case your authoization will directly be captured on your customer's credit card","With 'direct capturing' the the customer is debited directly after completion of payment. In the case of 'deferred capturing' the amount is debited at a moment defined by you."
"Set the sort order to show the external checkouts.","Set the sort order to show the external checkouts."
"Settlement after order","Settlement after order"
"Shared Secret Connect Interface provided by FirstData Connect (Test).","Shared Secret Connect Interface provided by FirstData Connect (Test)."
"Shared Secret Connect Interface provided by FirstData Connect.","Shared Secret Connect Interface provided by FirstData Connect."
"Shipping","Shipping"
"Shipping & Handling","Shipping & Handling"
"Shipping Address","Delivery address"
"Shipping Amount","Shipping Amount"
"Shipping Information","Shipping Information"
"Shipping Method","Shipping Method"
"Shipping Methods","Shipping Methods"
"Shipping Refund","Shipping Refund"
"Shop","Shop"
"Should the amount be captured automatically after the order (direct) or should the amount only be reserved (deferred)?","Should the amount be captured automatically after the order (direct) or should the amount only be reserved (deferred)?"
"Show","Show"
"Show Account Selection","Show Account Selection"
"Show Further Settings and Information","Show further settings and information"
"Show Image","Show Image"
"Show Installment information","Show Installment information"
"Show Invoice information","Show Invoice information"
"Show Payment Id","Show Payment ID"
"Show the payment id","Show the payment ID"
"Show the payment id in the order information","Show the payment ID in the order information."
"Show the payment image","Show the payment image"
"Show the payment image on the checkout page","Show the payment image on the checkout page"
"Sign In","Sign In"
"Social Security Number","Social Security Number"
"Social security number required","Social security number required"
"Solvency Information","Solvency Information"
"Sort Order","Sort Order"
"Status","State"
"Status After Pending","Status After Pending"
"Status denied after Klarna pending","Status denied after Klarna pending"
"Store ID","Store ID"
"Store ID (Test)","Store ID (Test)"
"Store the payment details","Store the payment details"
"Stored payment details","Stored payment details"
"Submit Order","Submit Order"
"Submitting order information...","Submitting order information..."
"Subtotal","Subtotal"
"Success","Successful"
"Successful","Successful"
"Successful online refund of amount","Successful online refund of amount"
"Successful payment authorization.","Successful payment authorization"
"Successfull online refund of amount","Successful online refund of amount"
"Support","Support"
"Tax Amount","Tax Amount"
"Technical issue: This payment methods is not available at the moment.","Technical issue: This payment method is not available at the moment."
"Terms and Conditions","Terms and Conditions"
"Test Environment","Test Environment"
"Test Mode","Test Mode"
"Test Transaction","Test Transaction"
"The API password required for the basic authorization will be provided by FirstData Connect (Test).","The API password required for the basic authorization will be provided by FirstData Connect (Test)."
"The API password required for the basic authorization will be provided by FirstData Connect.","The API password required for the basic authorisation will be provided by FirstData Connect."
"The HMAC key as defined in the live backoffice of FirstData Connect. You may need generate the HMAC key. Please take a look at the manual how to do this.","The HMAC key as defined in the live backoffice of FirstData Connect. You may need generate the HMAC key. Please take a look at the manual how to do this."
"The MoTo API password required for the basic authorization. The password is provided by FirstData Connect (Test).","The MoTo API password required for the basic authorization. The password is provided by FirstData Connect (Test)."
"The MoTo API password required for the basic authorization. The password is provided by FirstData Connect.","The MoTo API password required for the basic authorisation. The password is provided by FirstData Connect."
"The MoTo User Id who is allowed to access the API","The MoTo User ID allowed to access the API"
"The MoTo User Id who is allowed to access the API (Test)","The MoTo User Id who is allowed to access the API (Test)"
"The SEPA mandate schema does not contain the tag '!tag'. This tag is required.","The SEPA mandate schema does not contain the tag '!tag'. This tag is required."
"The Store ID will be provided by FirstData Connect and usally consist of 11 digits.","The Store ID will be provided by FirstData Connect and usually consist of 11 digits."
"The Store ID will be provided by FirstData Connect and usally consist of 11 digits. (Test)","The Store ID will be provided by FirstData Connect and usually consist of 11 digits. (Test)"
"The User Id who is allowed to access the API will be provided by FirstData Connect (Test).","The User ID that is allowed to access the API will be provided by FirstData Connect (Test)."
"The User Id who is allowed to access the API will be provided by FirstData Connect.","The User ID allowed to access the API will be provided by FirstData Connect."
"The alias could not be found.","The alias could not be found."
"The alias has been deleted.","The alias has been deleted."
"The alias manager allows the customer to select from a credit card previously stored. The credit card data is stored by FirstData Connect.","The alias manager allows the customer to pay with a previously stored credit card. The credit card data is stored with FirstData Connect."
"The alias transaction could not be conductet with error code: !code, and reason: !reason:","The alias transaction could not be conducted with error code: !code, and reason: !reason:"
"The amount could not be verified.","The amount could not be verified."
"The amount of !amount is authorized.","The amount of !amount is authorized."
"The amount of !amount is captured.","The amount of !amount is captured."
"The authorization method '!method' is not supported.","The authorization method '!method' is not supported."
"The authorization was not successful","Authorization error. Authorization not successful."
"The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting.","The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting."
"The brand of the credit card is detected by the card number if hidden authorization is used. The allowed credit card brands can be restricted by this setting. If payment page is used the customer will select the payment method at ____paymetnServiceProviderName____ and this setting is ignored.","The brand of the credit card is detected by the card number if hidden authorization is used. The allowed credit card brands can be restricted by this setting. If payment page is used the customer will select the payment method at FirstData Connect and this setting is ignored."
"The brand with external name '!key' was not present in the map.","The brand with external name '!key' was not present in the map."
"The brand with key '!key' was not found in the card information map.","The brand with key '!key' was not found in the card information map."
"The cancellation could not be conducted. Error code: !error.","The cancellation could not be conducted. Error code: !error."
"The capture amount (!captureAmount) cannot be greater than the authorized amount (!authorizedAmount).","The capture amount (!captureAmount) cannot be greater than the authorized amount (!authorizedAmount)."
"The capture item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","The capture item with SKU '@sku' has a higher amount (@amountItem) than the original item (@amountOriginal)."
"The capture item with SKU '@sku' is not present in the original order.","The capture item with SKU '@sku' is not present in the original order."
"The capturing could not be conducted. Error code: !error.","The capturing could not be conducted. Error code: !error."
"The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images?","The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown should the brand selection using images."
"The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images? (Only for Hidden Authorization)","The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images? (Only for Hidden Authorization)"
"The configuration has been saved.","The configuration has been saved."
"The context is in the wrong state, for this action","The context is in the wrong state, for this action"
"The controller class '@controller' does not provide any method with annotation 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' and valid output.","The controller class '@controller' does not provide any method with the annotation 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' and valid output."
"The customer did not the terms and conditions of Klarna.","The customer did not accept the terms and conditions of Klarna."
"The customer does not finish the payment with in the timeout.","The customer does not finish the payment with in the timeout."
"The date of birth is required.","The date of birth is required."
"The expected format is '!format' where the 'MM' means the month number and 'YY' the year number.","The expected format is '!format' where the 'MM' means the month in two digits and 'YY' the year in two digits."
"The gender is required.","The gender is required."
"The given CVC code has the wrong length.","The given CVC code has the wrong length."
"The given card number has an invalid check sum.","The given card number has an invalid check sum."
"The given card number has an invalid length.","The given card number has an invalid length."
"The given hmac key is empty.","No HMAC key entered."
"The given identifier is empty.","The given identifier is empty."
"The given password is empty.","No password entered."
"The given rang is empty. It must be a nummeric value with length of two.","The given rang is empty. It must be a numeric value with length of two."
"The given rang is invalid. It must be a nummeric value with length of two.","The given rang is invalid. It must be a numeric value with length of two."
"The given site number is empty.","The given site number is empty."
"The identifier as defined in the backoffice of FirstData Connect.","The identifier as defined in the backoffice of FirstData Connect."
"The interval in minutes between pulling updates from FirstData Connect.","The interval in minutes for the pulling updates from FirstData Connect."
"The invoice could not be captured and processed by","The invoice could not be captured and processed by FirstData Connect."
"The invoice could not be captured and processed. Reason:","The invoice could not be captured and processed. Reason: !reason"
"The invoice could not be found.","The invoice could not be found."
"The invoice has been changed.","The invoice has been changed."
"The invoice no longer exists.","The invoice no longer exists."
"The layout does not contain the tag '!layout_tag'.","The layout does not contain the tag '!layout_tag'."
"The next update execution date indicates when the next cron is run to update the transaction state.","The next update execution date indicates when the next cron is run to update the transaction state."
"The order is not fully completed. Please contact the store owner.","The payment could not be conducted."
"The passphrase to access the MoTO client certificate provided by FirstData Connect (Test).","The passphrase to access the MoTo client certificate provided by FirstData Connect (Test)."
"The passphrase to access the MoTO client certificate provided by FirstData Connect.","The pass-phrase to access the MoTo client certificate provided by FirstData Connect."
"The passphrase to access the client certificate provided by FirstData Connect. Please make sure that you follow the instructions in the manual concerning the creation of the certificate file (Test).","The passphrase to access the client certificate provided by FirstData Connect. Please make sure that you follow the instructions in the manual concerning the creation of the certificate file (Test)."
"The passphrase to access the client certificate provided by FirstData Connect. Please make sure that you follow the instructions in the manual concerning the creation of the certificate file.","The pass-phrase to access the client certificate provided by FirstData Connect. Concerning the creation of the certificate file, please make sure you follow the instructions in the manual."
"The payment failed due to an unkown reason","The payment failed due to an unkown reason"
"The payment form will be displayed after submitting the order.","The payment form will be displayed after submitting the order."
"The payment has been accepted.","The payment has been accepted."
"The payment has been denied.","The payment has been denied."
"The payment method !paymentMethod does not support recurring payment.","The payment method !paymentMethod does not support recurring payments."
"The payment method !paymentMethodName does not support the currency '!currency'.","The payment method !paymentMethodName does not support the currency '!currency'."
"The payment method !paymentMethodName is not available in your country ('!country').","The payment method !paymentMethodName is not available in your country ('!country')."
"The payment update has been made.","The payment update has been completed."
"The provided signature does not match with the one calculated.","The provided signature does not match the one calculated."
"The rang (PBX_RANG) as defined in the live backoffice of FirstData Connect. It must be nummeric value with length two. In the backoffice it may be displayed as a three char value. You must truncate the first digit.","The rang (PBX_RANG) as defined in the live backoffice of FirstData Connect. It must be nummeric value with length two. In the back office it may be displayed as a three char value. You must truncate the first digit."
"The refund item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","The refund item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal)."
"The refund item with SKU '@sku' is not present in the original order.","The refund item with SKU '@sku' is not present in the original order."
"The refunding could not be conducted. Error code: !error.","The refund could not be conducted. Error code: !error."
"The shared secret for the connect interface","The shared secret for the connect interface"
"The shared secret for the connect interface (Test)","The shared secret for the connect interface (Test)"
"The shared secret for the connect interface used for your MOTO transactions provided by FirstData Connect (Test).","The shared secret for the connect interface used for your MoTo transactions provided by FirstData Connect (Test)."
"The shared secret for the connect interface used for your MOTO transactions provided by FirstData Connect.","The shared secret for the connect interface used for your MoTo transactions provided by FirstData Connect."
"The shipping and billing addresses must be equal","The shipping and billing addresses must be identical."
"The shopping cart has been altered!","The shopping cart has been altered!"
"The signature could not be verified.","The signature could not be verified."
"The site id (PBX_RANG) as defined in the backoffice of FirstData Connect.","The Site ID (PBX_RANG) as defined in the back office of FirstData Connect."
"The total refund amount (!totalRefundedAmount) cannot be greater than the captured amount (!capturedAmount).","The total refund amount (!totalRefundedAmount) cannot be greater than the captured amount (!capturedAmount)."
"The transaction cannot be cancelled online.","The transaction cannot be cancelled online."
"The transaction cannot be captured online.","The transaction cannot be captured online."
"The transaction cannot be refunded online.","The transaction cannot be refunded online."
"The transaction failed with an unkown error.","The transaction failed with an unkown error"
"The transaction failed with error code !code.","The transaction failed with error code: !code"
"The transaction is only executed in the test system. The goods should not be delivered.","The transaction is only executed in the test system. The goods should not be delivered."
"The transaction was declined by Klana.","The transaction was declined by Klarna."
"The whole transaction is cancelled.","The entire transaction has been cancelled."
"There has been a problem during the processing of your payment.","There has been a problem during the processing of your payment."
"There has been a problem during the processing of your payment. Please contact the shop owner to make sure your order was placed successfully.","There has been a problem during the processing of your payment. Please contact the shop owner to make sure your order was placed successfully."
"There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %1","There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %1"
"There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %s","There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %s"
"There is a technical issue, please contact the merchant.","There is a technical issue, please contact the merchant."
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account."
"There seems to be a problem with the FirstData Connect module.","There seems to be a problem with the FirstData Connect module."
"There was an error validating the login and password.","There was an error validating the login and password."
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","This account is not confirmed. <a href=""%s"">Click here</a> to resend the confirmation email."
"This method is not available for companies","This method is not available for companies"
"This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the FirstData Connect account.","This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the FirstData Connect account."
"This payment method is currently not available, please select another one.","This payment method is currently not available, please select another one."
"This setting can be used to activate resp. deactivate the 3D secure check. Please check with PayBox if you are allowed to deactivate the 3D secure check. This setting has only an effect when you use the payment page.","This setting can be used to activate/deactivate the 3D Secure check. Please check with PayBox if you are allowed to deactivate the 3D Secure check. This setting only has an effect if you use the payment page."
"This status is set, when the payment was successfull and it is authorized.","This status is set when the payment was successful and it is authorised."
"This transaction is already closed for further captures.","This transaction is already closed for further captures"
"This transaction is already closed for further refunds.","This transaction has been closed for further refunds."
"This transaction no longer exists.","This transaction no longer exists."
"Timeout for pending payments (min)","Time-out for pending payments (in min)."
"Titel","Title"
"Title","Title"
"Title of the payment method","Name of the payment method"
"Total","Total"
"Total Shipping Charges","Total shipping charges"
"Track order history","Track order history"
"Trans ID","Transaction ID"
"Transaction","Transaction"
"Transaction Authorized","Transaction authorised"
"Transaction Cancelled","Transaction cancelled"
"Transaction Captured","Transaction captured"
"Transaction History","Transaction History"
"Transaction Id","Transaction ID"
"Transaction Paid","Transaction paid"
"Transaction Uncertain","Transaction uncertain"
"Transaction Updates","Transaction Updates"
"Transaction cancelled successfully","Transaction cancelled successfully"
"Transaction captured successfully","Transaction captured successfully"
"Transaction declined as authorization is pending at a third party service.","Transaction declined as authorization is pending at a third party service."
"Transaction history","Transaction History"
"Transaction notification verification failed.","Transaction notification verification failed."
"Transaction was authorized over the deferred authorization mechanism.","Transaction was authorized over the deferred authorization mechanism."
"Transactions","Transactions"
"Unable to save the invoice.","Unable to save the invoice."
"Uncertain Status","Uncertain status"
"Uncertain transactions","Uncertain transactions"
"Update","Update"
"Update Qty's","Adjust Quantity"
"Update interval for payments","Update interval for payments"
"Use Base Currency","Use Base Currency"
"Use Default","Use Default"
"Use base currency","Use base currency"
"VISA","VISA"
"Validation","Validation"
"Version","Version"
"View","View"
"Wait On Success Page","Wait On Success Page"
"We cannot get the transaction instance.","We can not establish a transaction."
"We experienced a problem with your sellxed payment extension. For more information, please visit the configuration page of the plugin.","We experienced a problem with your sellxed payment extension. For more information, please visit the configuration page of the FirstData Connect plugin."
"We're sorry. We were unable to process this transaction with Klarna. Please choose another payment method.","We're sorry. We were unable to process this transaction with Klarna. Please choose another payment method."
"When the store is not available (network outage, server failure or any other outage), when the feedback of FirstData Connect is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized later over direct link. To use this feature the update service must be activated and the API username and the API password must be set.","When the store is not available (network outage, server failure or any other outage), when the feedback of FirstData Connect is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized later over direct link. To use this feature the update service must be activated and the API username and the API password must be set."
"When using an external checkout, the customer can either be asked to chose an option to authenticate (as guest, register or login) or he can always be checked out as guest. For the second option to work, guest checkout has to be enabled in magento.","When using an external checkout, the customer can either be asked to choose an option to authenticate (as guest, register or login) or he can always be checked out as guest. For the second option to work, guest checkout has to be enabled in Magento."
"Year","Year"
"Yes","Yes"
"Yes, use images for the brand selection.","Yes, use images for the brand selection."
"You can allow the customers to manage/delete their aliases in the their account.","You can allow the customers to manage/delete their aliases in their account."
"You can decide on the order status new orders should have after they are processed successfully.","You can specify the order status for new orders that have been processed successfully."
"You can decide on the order status new orders should have that have an uncertain authorization status.","You can specify the order status for new orders that have an uncertain authorisation status."
"You can only capture/refund a complete line item. (Item: !name - Expected Amount: !expected - Given Amount: !given)","You can only capture/refund a complete line item. (Item: !name - Expected Amount: !expected - Given Amount: !given)"
"You can specify the order status for new orders that have an uncertain authorisation status.","You can specify the order status for new orders that have an uncertain authorisation status."
"You can specify the order status for orders that are captured either directly after the order or manually in the backend.","You can specify the order status for orders that are captured either directly after the order or manually in the back-end."
"You can specify the order status for orders that are denied after being pending at Klarna","You can specify the order status for orders that are denied after being pending at Klarna"
"You can specify the order status for orders that had a pending authorization status. Due to technical reasons it can happen that a transaction can not be cleared directly. The order will then be set on a hold state. The module will automatically check for a status update. With the 'Status after Pending' you define which status will be set in case the order has been cleared. We suggest to set the state according the authorization state above.","You can specify the order status for orders with a pending authorisation status. Due to technical reasons it may happen that a transaction can not be cleared directly. The order will then be set on hold. The module will automatically check for status updates. With the 'Status after Pending' you can specify which status will be set in case the order has been cleared. We suggest setting the state in accordance with the authorisation state above."
"You can specify the order status when an order is cancelled.","You can specify the order status for cancelled orders."
"You can switch between the different environments, by selecting the corresponding operation mode.","You can switch between the different environments, by selecting the corresponding operation mode."
"You created the order.","You created the order."
"You have no stored aliases.","You have no stored aliases."
"You have to enter a bankcode.","You have to enter a valid bank code"
"You have to enter a card number.","You have to enter a card number."
"You have to enter a valid BIC.","You have to enter a valid BIC."
"You have to enter a valid IBAN","You have to enter a valid IBAN"
"You have to enter a valid account number","You have to enter a valid account number"
"You have to enter a valid bank code.","You have to enter a valid bank code"
"You have to enter an IBAN.","You have to enter an IBAN."
"You have to enter an account number.","You have to enter an account number"
"You have to enter bank code of your bank.","Enter your bank's bank code."
"You have to enter commercial number of you company.","Please enter the commercial number of your company."
"You have to enter either the CVC code or the issue number of your card.","You have to enter either the CVC code or the issue number of your card."
"You have to enter sales tax number of you company.","You have to enter sales tax number of you company."
"You have to enter sales tax number of your company.","Please enter your company's sales tax number."
"You have to enter the BIC of your bank.","You have to enter the BIC of your bank."
"You have to enter the BIC.","You have to enter the BIC of your bank."
"You have to enter the CVC code from the back of your credit card.","You have to enter the CVC code from the back of your credit card"
"You have to enter the CVC code from your card.","Enter the CVC code from your card"
"You have to enter the CVC code or the issue number from your credit card.","You have to enter either the CVC code or the issue number of your card."
"You have to enter the IBAN.","You have to enter your IBAN number."
"You have to enter the a card number.","You have to enter a card number."
"You have to enter the a valid card number.","You have to enter a valid card number."
"You have to enter the account holder name on the card.","You have to enter the account holder name on the card."
"You have to enter the account holder name.","You have to enter the account holder name."
"You have to enter the card expiry.","You have to enter the card expiry date"
"You have to enter the card holder name on the card.","You have to enter the card holder name."
"You have to enter the location of your bank.","Please enter the location of your bank."
"You have to enter the name of the account owner.","Please enter the name of the account owner"
"You have to enter the name of your bank.","You have to enter the name of your bank."
"You have to enter your IBAN Number.","You have to enter your IBAN number."
"You have to enter your IBAN.","Please enter your IBAN number."
"You have to enter your bank account number.","Please enter here the International Bank Account Number (IBAN)."
"You have to enter your birthplace","Please enter your place of birth."
"You have to enter your date of birth","You have to enter your date of birth"
"You have to enter your social security number.","Please enter your social security number."
"You may choose one of the cards you paid before on this site.","You may choose from one of the cards previously used on this site."
"You may choose one of your stored payment details.","You may choose one of your stored payment details."
"You will be redirect to the order confirmation page.","You will be redirected to the order confirmation page."
"You will be redirected in a few seconds to MasterPass.","You will be redirected in a few seconds to MasterPass."
"Your browser does not allow the execution of JavaScript. Please activate JavaScript in your browser and reload this page.","Your browser does not allow the execution of JavaScript. Please activate JavaScript in your browser and reload this page."
"Your checkout session expired.","Your checkout session expired."
"FirstDataConnectCw Aliases","FirstDataConnectCw Aliases"
"____paymentMethodName____","____paymentMethodName____"
"FirstData Connect","FirstData Connect"
"FirstData Connect API Password","FirstData Connect API Password"
"FirstData Connect API Password (Test)","FirstData Connect API Password (Test)"
"FirstData Connect API User Id","FirstData Connect API User ID"
"FirstData Connect API User Id (Test)","FirstData Connect API User ID (Test)"
"FirstData Connect API password","FirstData Connect API password"
"FirstData Connect Aliases","FirstData Connect Aliases"
"FirstData Connect Error","FirstData Connect Error"
"FirstData Connect Parameters","FirstData Connect Parameters"
"FirstData Connect Refund Items","FirstData Connect Refund Items"
"FirstData Connect Section","FirstData Connect Section"
"FirstData Connect Transactions","FirstData Connect Transactions"
"FirstData Connect: Alias Management","FirstData Connect: Alias Management"
"customweb ltd","customweb ltd"
"no","No"
"or","or"
"yes","Yes"
